day,daily_risk_adj
1,0.000842547332185886
2,0.00130010327022375
3,0.00130010327022375
4,0.00130010327022375
5,0.00130010327022375
6,0.00130010327022375
7,0.00130010327022375
8,0.00130010327022375
9,0.00125472891566265
10,0.00125472891566265
11,0.00125472891566265
12,0.00125472891566265
13,0.00125472891566265
14,0.00125472891566265
15,0.00125472891566265
16,0.000936381239242685
17,0.000936381239242685
18,0.000936381239242685
19,0.000936381239242685
20,0.000936381239242685
21,0.000936381239242685
22,0.000936381239242685
23,0.000582607573149742
24,0.000582607573149742
25,0.000582607573149742
26,0.000582607573149742
27,0.000582607573149742
28,0.000582607573149742
29,0.000582607573149742
30,0.000335671256454389
31,0.000335671256454389
32,0.000335671256454389
33,0.000335671256454389
34,0.000335671256454389
35,0.000335671256454389
36,0.000335671256454389
37,0.000193330464716007
38,0.000193330464716007
39,0.000193330464716007
40,0.000193330464716007
41,0.000193330464716007
42,0.000193330464716007
43,0.000193330464716007
44,0.000114969879518072
45,0.000114969879518072
46,0.000114969879518072
47,0.000114969879518072
48,0.000114969879518072
49,0.000114969879518072
50,0.000114969879518072
51,0.0000730421686746988
52,0.0000730421686746988
53,0.0000730421686746988
54,0.0000730421686746988
55,0.0000730421686746988
56,0.0000730421686746988
57,0.0000730421686746988
58,0.000050249569707401
59,0.000050249569707401
60,0.000050249569707401
61,0.000050249569707401
62,0.000050249569707401
63,0.000050249569707401
64,0.000050249569707401
65,0.0000383218588640275
66,0.0000383218588640275
67,0.0000383218588640275
68,0.0000383218588640275
69,0.0000383218588640275
70,0.0000383218588640275
71,0.0000383218588640275
72,0.0000324053356282272
73,0.0000324053356282272
74,0.0000324053356282272
75,0.0000324053356282272
76,0.0000324053356282272
77,0.0000324053356282272
78,0.0000324053356282272
79,0.0000305292598967298
80,0.0000305292598967298
81,0.0000305292598967298
82,0.0000305292598967298
83,0.0000305292598967298
84,0.0000305292598967298
85,0.0000305292598967298
86,0.000032921686746988
87,0.000032921686746988
88,0.000032921686746988
89,0.000032921686746988
90,0.000032921686746988
91,0.000032921686746988
92,0.000032921686746988
93,0.000037973321858864
94,0.000037973321858864
95,0.000037973321858864
96,0.000037973321858864
97,0.000037973321858864
98,0.000037973321858864
99,0.000037973321858864
100,0.000046604991394148
101,0.000046604991394148
102,0.000046604991394148
103,0.000046604991394148
104,0.000046604991394148
105,0.000046604991394148
106,0.000046604991394148
107,0.0000624483648881239
108,0.0000624483648881239
109,0.0000624483648881239
110,0.0000624483648881239
111,0.0000624483648881239
112,0.0000624483648881239
113,0.0000624483648881239
114,0.0000794578313253012
115,0.0000794578313253012
116,0.0000794578313253012
117,0.0000794578313253012
118,0.0000794578313253012
119,0.0000794578313253012
120,0.0000794578313253012
121,0.000103700516351119
122,0.000103700516351119
